Unnamed: 0,mi_quality,transcript_id,video_title,video_url,topic,utterance_id,interlocutor,timestamp,utterance_text,annotator_id,therapist_input_exists,therapist_input_subtype,reflection_exists,reflection_subtype,question_exists,question_subtype,main_therapist_behaviour,client_talk_type
2571,high,46,"Adolescent brief intervention: ""Jacob""",https://www.youtube.com/watch?v=GvaOXREccHI&feature=emb_title,reducing alcohol consumption,0,therapist,00:00:15,"So, Jacob, everything looks very normal on your physical exam. Do you have any questions for me?",8,False,,False,,True,closed,question,
2572,high,46,"Adolescent brief intervention: ""Jacob""",https://www.youtube.com/watch?v=GvaOXREccHI&feature=emb_title,reducing alcohol consumption,1,client,00:00:20,No.,8,,,,,,,,neutral
2573,high,46,"Adolescent brief intervention: ""Jacob""",https://www.youtube.com/watch?v=GvaOXREccHI&feature=emb_title,reducing alcohol consumption,2,therapist,00:00:22,"Okay. I see that you filled out our, um, alcohol and drug questionnaire. Is it okay if we go through this together?",8,False,,False,,False,,other,
2574,high,46,"Adolescent brief intervention: ""Jacob""",https://www.youtube.com/watch?v=GvaOXREccHI&feature=emb_title,reducing alcohol consumption,3,client,00:00:29,Sure.,8,,,,,,,,neutral
2575,high,46,"Adolescent brief intervention: ""Jacob""",https://www.youtube.com/watch?v=GvaOXREccHI&feature=emb_title,reducing alcohol consumption,4,therapist,00:00:30,Okay. What we talk about is confidential. I only tell your parents about what we say if you give your permission or if I become worried about a danger to-to you or to someone else. Does that make sense?,8,True,information,False,,True,closed,therapist_input,
2576,high,46,"Adolescent brief intervention: ""Jacob""",https://www.youtube.com/watch?v=GvaOXREccHI&feature=emb_title,reducing alcohol consumption,5,client,00:00:42,Yeah.,8,,,,,,,,neutral
2577,high,46,"Adolescent brief intervention: ""Jacob""",https://www.youtube.com/watch?v=GvaOXREccHI&feature=emb_title,reducing alcohol consumption,6,therapist,00:00:43,"Okay. So, let's take a look. So I see that you have marked that you sometimes use alcohol, and that you have used alcohol to relax, feel better about yourself or fit in. Do you mind telling me a little bit more about your alcohol use?",8,True,information,False,,True,closed,therapist_input,
2578,high,46,"Adolescent brief intervention: ""Jacob""",https://www.youtube.com/watch?v=GvaOXREccHI&feature=emb_title,reducing alcohol consumption,7,client,00:00:57,"It's not a big deal. Sometimes with my friends, we'll drink a few beers and when we're hanging out or when we're at a party, and sometimes rum and cokes.",8,,,,,,,,sustain
2579,high,46,"Adolescent brief intervention: ""Jacob""",https://www.youtube.com/watch?v=GvaOXREccHI&feature=emb_title,reducing alcohol consumption,8,therapist,00:01:11,"Okay, so how many do you usually have at a time?",8,False,,False,,True,closed,question,
2580,high,46,"Adolescent brief intervention: ""Jacob""",https://www.youtube.com/watch?v=GvaOXREccHI&feature=emb_title,reducing alcohol consumption,9,client,00:01:15,"Um, three or four, probably. I don't keep track.",8,,,,,,,,sustain
2581,high,46,"Adolescent brief intervention: ""Jacob""",https://www.youtube.com/watch?v=GvaOXREccHI&feature=emb_title,reducing alcohol consumption,10,therapist,00:01:21,Okay. And how often?,8,False,,False,,True,closed,question,
2582,high,46,"Adolescent brief intervention: ""Jacob""",https://www.youtube.com/watch?v=GvaOXREccHI&feature=emb_title,reducing alcohol consumption,11,client,00:01:25,"Um, probably about once or twice a month.",8,,,,,,,,neutral
2583,high,46,"Adolescent brief intervention: ""Jacob""",https://www.youtube.com/watch?v=GvaOXREccHI&feature=emb_title,reducing alcohol consumption,12,therapist,00:01:29,"Okay. So, you drink with friends, sort of three or four beers or mixed drinks, one or two times a month. How long have you been doing that?",8,False,,True,simple,True,closed,question,
2584,high,46,"Adolescent brief intervention: ""Jacob""",https://www.youtube.com/watch?v=GvaOXREccHI&feature=emb_title,reducing alcohol consumption,13,client,00:01:39,Probably since last October.,8,,,,,,,,neutral
2585,high,46,"Adolescent brief intervention: ""Jacob""",https://www.youtube.com/watch?v=GvaOXREccHI&feature=emb_title,reducing alcohol consumption,14,therapist,00:01:43,"So, for about six months. I'm curious. What do you like about drinking alcohol?",8,False,,True,simple,True,open,question,
2586,high,46,"Adolescent brief intervention: ""Jacob""",https://www.youtube.com/watch?v=GvaOXREccHI&feature=emb_title,reducing alcohol consumption,15,client,00:01:49,What do I like about it?,8,,,,,,,,neutral
2587,high,46,"Adolescent brief intervention: ""Jacob""",https://www.youtube.com/watch?v=GvaOXREccHI&feature=emb_title,reducing alcohol consumption,16,therapist,00:01:51,Yeah.,8,False,,False,,False,,other,
2588,high,46,"Adolescent brief intervention: ""Jacob""",https://www.youtube.com/watch?v=GvaOXREccHI&feature=emb_title,reducing alcohol consumption,17,client,00:01:52,"Um, I don't know. It's just fun to drink with my friends, like when we're at a party at someone else's house, and we're drinking with other people that we don't know. It tastes good.",8,,,,,,,,sustain
2589,high,46,"Adolescent brief intervention: ""Jacob""",https://www.youtube.com/watch?v=GvaOXREccHI&feature=emb_title,reducing alcohol consumption,18,therapist,00:02:09,"Okay. So, it sounds like you feel relaxed and have fun when you're drinking with friends and you like the taste.",8,False,,True,simple,False,,reflection,
2590,high,46,"Adolescent brief intervention: ""Jacob""",https://www.youtube.com/watch?v=GvaOXREccHI&feature=emb_title,reducing alcohol consumption,19,client,00:02:16,Mm-hmm.,8,,,,,,,,neutral
2591,high,46,"Adolescent brief intervention: ""Jacob""",https://www.youtube.com/watch?v=GvaOXREccHI&feature=emb_title,reducing alcohol consumption,20,therapist,00:02:17,"Okay. I'm also curious, are there any parts about your alcohol use that you don't like?",8,False,,False,,True,closed,question,
2592,high,46,"Adolescent brief intervention: ""Jacob""",https://www.youtube.com/watch?v=GvaOXREccHI&feature=emb_title,reducing alcohol consumption,21,client,00:02:22,"Um, I don't like when I get sick in the mornings 'cause of hangovers and-",8,,,,,,,,change
2593,high,46,"Adolescent brief intervention: ""Jacob""",https://www.youtube.com/watch?v=GvaOXREccHI&feature=emb_title,reducing alcohol consumption,22,therapist,00:02:28,Mm-hmm.,8,False,,False,,False,,other,
2594,high,46,"Adolescent brief intervention: ""Jacob""",https://www.youtube.com/watch?v=GvaOXREccHI&feature=emb_title,reducing alcohol consumption,23,client,00:02:29,"-when I start throwing up, that's not- I don't like that.",8,,,,,,,,change
2595,high,46,"Adolescent brief intervention: ""Jacob""",https://www.youtube.com/watch?v=GvaOXREccHI&feature=emb_title,reducing alcohol consumption,24,therapist,00:02:33,"Have you ever experienced a-a blackout, like when you've been drinking and you wake up and you don't remember what happened?",8,False,,False,,True,closed,question,
2596,high,46,"Adolescent brief intervention: ""Jacob""",https://www.youtube.com/watch?v=GvaOXREccHI&feature=emb_title,reducing alcohol consumption,25,client,00:02:42,"No, but that happened to someone I know, though.",8,,,,,,,,neutral
2597,high,46,"Adolescent brief intervention: ""Jacob""",https://www.youtube.com/watch?v=GvaOXREccHI&feature=emb_title,reducing alcohol consumption,26,therapist,00:02:44,"Okay. And have you had any problems related to-to your drinking alcohol, like at home or school or somewhere else?",8,False,,False,,True,closed,question,
2598,high,46,"Adolescent brief intervention: ""Jacob""",https://www.youtube.com/watch?v=GvaOXREccHI&feature=emb_title,reducing alcohol consumption,27,client,00:02:52,"Um, one time I missed first period of school 'cause I had a hangover and I was late getting up.",8,,,,,,,,change
2599,high,46,"Adolescent brief intervention: ""Jacob""",https://www.youtube.com/watch?v=GvaOXREccHI&feature=emb_title,reducing alcohol consumption,28,therapist,00:03:02,Mm-hmm.,8,False,,False,,False,,other,
2600,high,46,"Adolescent brief intervention: ""Jacob""",https://www.youtube.com/watch?v=GvaOXREccHI&feature=emb_title,reducing alcohol consumption,29,client,00:03:03,"Mm, mom got mad at me 'cause I wouldn't get out of bed and she said she knew I had a hangover.",8,,,,,,,,change
2601,high,46,"Adolescent brief intervention: ""Jacob""",https://www.youtube.com/watch?v=GvaOXREccHI&feature=emb_title,reducing alcohol consumption,30,therapist,00:03:08,Mm-hmm. Have you told your mother that you drink with your friends?,8,False,,False,,True,closed,question,
2602,high,46,"Adolescent brief intervention: ""Jacob""",https://www.youtube.com/watch?v=GvaOXREccHI&feature=emb_title,reducing alcohol consumption,31,client,00:03:12,"No, but I got grounded for two weeks after that. [chuckles]",8,,,,,,,,change
2603,high,46,"Adolescent brief intervention: ""Jacob""",https://www.youtube.com/watch?v=GvaOXREccHI&feature=emb_title,reducing alcohol consumption,32,therapist,00:03:16,"So more negative things about your drinking, like getting into trouble with your mom and missing a class at school when you had a hangover?",8,False,,False,,True,closed,question,
2604,high,46,"Adolescent brief intervention: ""Jacob""",https://www.youtube.com/watch?v=GvaOXREccHI&feature=emb_title,reducing alcohol consumption,33,client,00:03:23,"Yeah, but I only missed school once.",8,,,,,,,,sustain
2605,high,46,"Adolescent brief intervention: ""Jacob""",https://www.youtube.com/watch?v=GvaOXREccHI&feature=emb_title,reducing alcohol consumption,34,therapist,00:03:26,"Okay. I see on the questionnaire that you have not ridden in a car with someone who's been drinking and you haven't driven a car, um, after you've been drinking. Is that correct?",8,True,information,False,,False,,therapist_input,
2606,high,46,"Adolescent brief intervention: ""Jacob""",https://www.youtube.com/watch?v=GvaOXREccHI&feature=emb_title,reducing alcohol consumption,35,client,00:03:36,Yeah.,8,,,,,,,,neutral
2607,high,46,"Adolescent brief intervention: ""Jacob""",https://www.youtube.com/watch?v=GvaOXREccHI&feature=emb_title,reducing alcohol consumption,36,therapist,00:03:37,"That's great. And I hope you continue to avoid those things. As your doctor, I want you to know that I'm concerned about your drinking. When teens drink, things can go wrong, like injuring yourself. Even when you don't drink too excess, though, your brain is still developing and is very sensitive to the effects of alcohol.",8,True,information,False,,False,,therapist_input,
2608,high,46,"Adolescent brief intervention: ""Jacob""",https://www.youtube.com/watch?v=GvaOXREccHI&feature=emb_title,reducing alcohol consumption,37,client,00:03:57,Okay.,8,,,,,,,,neutral
2609,high,46,"Adolescent brief intervention: ""Jacob""",https://www.youtube.com/watch?v=GvaOXREccHI&feature=emb_title,reducing alcohol consumption,38,therapist,00:03:58,"That's why I recommend that all my adolescent patients not drink at all. So if you were thinking today about how ready you feel to stop drinking alcohol on a scale of zero to ten, with zero not being ready at all and ten feeling very ready, what number would you pick?",8,True,advice,False,,True,closed,question,
2610,high,46,"Adolescent brief intervention: ""Jacob""",https://www.youtube.com/watch?v=GvaOXREccHI&feature=emb_title,reducing alcohol consumption,39,client,00:04:16,"Um, probably a five.",8,,,,,,,,neutral
2611,high,46,"Adolescent brief intervention: ""Jacob""",https://www.youtube.com/watch?v=GvaOXREccHI&feature=emb_title,reducing alcohol consumption,40,therapist,00:04:21,"A five? So, I'm curious. Why didn't you pick a lower number like a two or three that would mean you're only a little bit ready to stop drinking?",8,False,,False,,True,open,question,
2612,high,46,"Adolescent brief intervention: ""Jacob""",https://www.youtube.com/watch?v=GvaOXREccHI&feature=emb_title,reducing alcohol consumption,41,client,00:04:30,"Well, I guess I'm just tired of getting in trouble.",8,,,,,,,,change
2613,high,46,"Adolescent brief intervention: ""Jacob""",https://www.youtube.com/watch?v=GvaOXREccHI&feature=emb_title,reducing alcohol consumption,42,therapist,00:04:34,Okay. What could you do to avoid getting into trouble?,8,False,,False,,True,open,question,
2614,high,46,"Adolescent brief intervention: ""Jacob""",https://www.youtube.com/watch?v=GvaOXREccHI&feature=emb_title,reducing alcohol consumption,43,client,00:04:38,"Um, not drink.",8,,,,,,,,change
2615,high,46,"Adolescent brief intervention: ""Jacob""",https://www.youtube.com/watch?v=GvaOXREccHI&feature=emb_title,reducing alcohol consumption,44,therapist,00:04:41,[chuckles] Have you ever tried not drinking or stopping drinking?,8,False,,False,,True,closed,question,
2616,high,46,"Adolescent brief intervention: ""Jacob""",https://www.youtube.com/watch?v=GvaOXREccHI&feature=emb_title,reducing alcohol consumption,45,client,00:04:44,"No, not really.",8,,,,,,,,sustain
2617,high,46,"Adolescent brief intervention: ""Jacob""",https://www.youtube.com/watch?v=GvaOXREccHI&feature=emb_title,reducing alcohol consumption,46,therapist,00:04:47,Okay. What some people your age do is try stopping drinking for a period of time just to see what that feels like.,8,True,negotiation,False,,False,,therapist_input,
2618,high,46,"Adolescent brief intervention: ""Jacob""",https://www.youtube.com/watch?v=GvaOXREccHI&feature=emb_title,reducing alcohol consumption,47,client,00:04:55,I could probably do that.,8,,,,,,,,change
2619,high,46,"Adolescent brief intervention: ""Jacob""",https://www.youtube.com/watch?v=GvaOXREccHI&feature=emb_title,reducing alcohol consumption,48,therapist,00:04:57,"So, how long do you think you could go without drinking?",8,False,,False,,True,closed,question,
2620,high,46,"Adolescent brief intervention: ""Jacob""",https://www.youtube.com/watch?v=GvaOXREccHI&feature=emb_title,reducing alcohol consumption,49,client,00:05:00,I don't know.,8,,,,,,,,neutral
2621,high,46,"Adolescent brief intervention: ""Jacob""",https://www.youtube.com/watch?v=GvaOXREccHI&feature=emb_title,reducing alcohol consumption,50,therapist,00:05:02,Do you think you could go two months without drinking?,8,True,negotiation,False,,True,closed,question,
2622,high,46,"Adolescent brief intervention: ""Jacob""",https://www.youtube.com/watch?v=GvaOXREccHI&feature=emb_title,reducing alcohol consumption,51,client,00:05:05,"Yeah, probably.",8,,,,,,,,change
2623,high,46,"Adolescent brief intervention: ""Jacob""",https://www.youtube.com/watch?v=GvaOXREccHI&feature=emb_title,reducing alcohol consumption,52,therapist,00:05:08,Okay. What things would make it easier for you to not drink?,8,False,,False,,True,open,question,
2624,high,46,"Adolescent brief intervention: ""Jacob""",https://www.youtube.com/watch?v=GvaOXREccHI&feature=emb_title,reducing alcohol consumption,53,client,00:05:12,"Um, I could probably drink something else when my friends are drinking, like just coke.",8,,,,,,,,change
2625,high,46,"Adolescent brief intervention: ""Jacob""",https://www.youtube.com/watch?v=GvaOXREccHI&feature=emb_title,reducing alcohol consumption,54,therapist,00:05:20,Anything else to make things easier for you?,8,False,,False,,True,closed,question,
2626,high,46,"Adolescent brief intervention: ""Jacob""",https://www.youtube.com/watch?v=GvaOXREccHI&feature=emb_title,reducing alcohol consumption,55,client,00:05:24,I can probably hang out with some of my friends who don't drink or inviting them to parties and having fun 'cause not everyone drinks at parties.,8,,,,,,,,change
2627,high,46,"Adolescent brief intervention: ""Jacob""",https://www.youtube.com/watch?v=GvaOXREccHI&feature=emb_title,reducing alcohol consumption,56,therapist,00:05:34,"Okay. Is there anybody in your life that you can talk to about this, who give you some support for not drinking?",8,False,,False,,True,closed,question,
2628,high,46,"Adolescent brief intervention: ""Jacob""",https://www.youtube.com/watch?v=GvaOXREccHI&feature=emb_title,reducing alcohol consumption,57,client,00:05:41,"Yeah. The-- My friends who don't drink would probably be happy that I'm not drinking either and yes, they'd support me.",8,,,,,,,,change
2629,high,46,"Adolescent brief intervention: ""Jacob""",https://www.youtube.com/watch?v=GvaOXREccHI&feature=emb_title,reducing alcohol consumption,58,therapist,00:05:50,"Great. So you've come up with some reasons to stop drinking, like having hangovers and throwing up and getting into trouble. And you've developed some strategies to-to try to not drink, like spending more time with friends who don't drink or having non-alcoholic drinks when people around you are drinking alcohol. I think that's a great plan. I'm really proud of you for giving this a try. How about if I have you make an appointment for two months from now and then I'll see you back and we can see how things are going?",8,False,,True,simple,True,closed,reflection,
2630,high,46,"Adolescent brief intervention: ""Jacob""",https://www.youtube.com/watch?v=GvaOXREccHI&feature=emb_title,reducing alcohol consumption,59,client,00:06:19,Okay.,8,,,,,,,,neutral
3683,high,65,Motivational Interviewing for Health Issues Video,https://www.youtube.com/watch?v=wCbYXsQd9u8,smoking cessation,0,client,00:00:06,"Many people have told me, um, if I quit smoking, I'm going to gain weight.",9,,,,,,,,neutral
3684,high,65,Motivational Interviewing for Health Issues Video,https://www.youtube.com/watch?v=wCbYXsQd9u8,smoking cessation,1,therapist,00:00:11,Mm.,9,False,,False,,False,,other,
3685,high,65,Motivational Interviewing for Health Issues Video,https://www.youtube.com/watch?v=wCbYXsQd9u8,smoking cessation,2,client,00:00:11,"Well, food really doesn't taste good, but they say it tastes much better-",9,,,,,,,,neutral
3686,high,65,Motivational Interviewing for Health Issues Video,https://www.youtube.com/watch?v=wCbYXsQd9u8,smoking cessation,3,therapist,00:00:16,Mm-hmm.,9,False,,False,,False,,other,
3687,high,65,Motivational Interviewing for Health Issues Video,https://www.youtube.com/watch?v=wCbYXsQd9u8,smoking cessation,4,client,00:00:17,-if you quit smoking.,9,,,,,,,,neutral
3688,high,65,Motivational Interviewing for Health Issues Video,https://www.youtube.com/watch?v=wCbYXsQd9u8,smoking cessation,5,therapist,00:00:18,Mm-hmm.,9,False,,False,,False,,other,
3689,high,65,Motivational Interviewing for Health Issues Video,https://www.youtube.com/watch?v=wCbYXsQd9u8,smoking cessation,6,client,00:00:19,Now the downside to that is I'm gonna gain weight.,9,,,,,,,,sustain
3690,high,65,Motivational Interviewing for Health Issues Video,https://www.youtube.com/watch?v=wCbYXsQd9u8,smoking cessation,7,therapist,00:00:23,Mm-hmm.,9,False,,False,,False,,other,
3691,high,65,Motivational Interviewing for Health Issues Video,https://www.youtube.com/watch?v=wCbYXsQd9u8,smoking cessation,8,client,00:00:24,"That means a new wardrobe, which I'd like to have, but I can't afford it.",9,,,,,,,,sustain
3692,high,65,Motivational Interviewing for Health Issues Video,https://www.youtube.com/watch?v=wCbYXsQd9u8,smoking cessation,9,therapist,00:00:28,Okay. So right now you're seeing that it's a part of your life. It's been a part of your life off and on for 18 years.,9,False,,True,complex,False,,reflection,
3693,high,65,Motivational Interviewing for Health Issues Video,https://www.youtube.com/watch?v=wCbYXsQd9u8,smoking cessation,10,client,00:00:42,Mm-hmm.,9,,,,,,,,neutral
3694,high,65,Motivational Interviewing for Health Issues Video,https://www.youtube.com/watch?v=wCbYXsQd9u8,smoking cessation,11,therapist,00:00:42,It's become a more important part of your life because you found yourself smoking at times that you thought I'll never smoke then.,9,False,,True,complex,False,,reflection,
3695,high,65,Motivational Interviewing for Health Issues Video,https://www.youtube.com/watch?v=wCbYXsQd9u8,smoking cessation,12,client,00:00:49,Right.,9,,,,,,,,neutral
